generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
116,50,0,50,0.0,20,21,990415.660080172,23.24,39.12,18,27,0,18,1,0,19,0,31,9,0,11,12,43
117,50,0,50,0.0,20,21,990130.7773915667,23.24,39.12,18,27,0,22,0,0,22,0,28,9,0,11,12,43
118,50,0,50,0.0,20,21,989835.986844405,23.24,39.12,18,27,0,18,0,0,18,0,32,9,0,11,12,43
119,50,0,50,0.0,20,21,989531.0322197633,23.24,39.12,18,27,0,11,0,0,11,0,39,9,0,11,12,43
120,50,0,50,0.0,20,21,989215.6529190659,23.24,39.12,18,27,0,14,1,0,15,0,35,9,0,11,12,43
121,50,0,50,0.0,20,21,988889.5839269699,23.24,39.12,18,27,0,10,0,0,10,0,40,9,0,11,12,43
122,50,0,50,0.0,20,21,988552.5557742488,23.24,39.12,18,27,0,13,1,0,14,0,36,9,0,11,12,43
123,50,1,49,0.02,20,21,988204.2945006761,23.22,38.88,18,27,1,10,0,0,10,0,39,9,0,11,12,43
124,50,1,49,0.02,19,20,940966.3948766184,23.08,38.5,18,27,1,14,0,0,14,0,35,6,0,13,14,46
125,50,0,50,0.0,19,20,940612.4929629299,23.08,38.5,18,27,0,22,0,0,22,0,28,6,0,13,14,46
126,50,0,50,0.0,19,20,940247.0831666122,23.08,38.5,18,27,0,15,0,0,15,0,35,6,0,13,14,46
127,50,1,49,0.02,19,20,939869.8870890391,23.02,38.0,18,27,1,14,0,0,14,0,35,6,0,13,14,46
128,50,1,49,0.02,19,20,939480.6218773484,23.0,38.08,18,27,1,18,0,0,18,0,31,6,0,13,14,46
129,50,0,50,0.0,19,20,939079.00018909,23.0,38.08,18,27,0,14,0,0,14,0,36,6,0,13,14,46
130,50,1,49,0.02,19,20,938664.7301568746,22.96,38.24,18,27,1,10,1,0,11,0,38,6,0,13,14,46
131,50,0,50,0.0,19,20,938237.5153530239,22.96,38.24,18,27,0,15,0,0,15,0,35,6,0,13,14,46
132,50,1,49,0.02,19,20,937797.0547542179,22.96,38.12,18,27,1,19,1,0,20,0,29,6,0,13,14,46
133,50,0,50,0.0,19,20,937343.0427061446,22.96,38.12,18,27,0,19,0,0,19,0,31,6,0,13,14,46
134,50,0,50,0.0,19,20,936875.1688881496,22.96,38.12,18,27,0,9,0,0,9,0,41,6,0,13,14,46
135,50,2,48,0.04,19,20,936393.1182778832,22.84,37.46,18,27,2,16,0,0,16,0,32,6,0,13,14,46
136,50,1,49,0.02,19,20,935896.5711159515,22.8,37.86,18,27,1,16,1,0,17,0,32,6,0,13,14,46
137,50,0,50,0.0,19,20,935385.2028705634,22.8,37.86,18,27,0,16,0,0,16,0,34,6,0,13,14,46
138,50,0,50,0.0,19,20,934858.6842021812,22.8,37.86,18,27,0,7,0,0,7,0,43,6,0,13,14,46
139,50,0,50,0.0,19,20,934316.6809281674,22.8,37.86,18,27,0,16,0,0,16,0,34,6,0,13,14,46
140,50,2,48,0.04,19,20,933758.8539874362,22.72,37.84,18,27,2,14,0,0,14,0,34,6,0,13,14,46
141,50,0,50,0.0,19,20,933184.8594051006,22.72,37.84,18,27,0,10,0,0,10,0,40,6,0,13,14,46
142,50,0,50,0.0,19,20,932594.3482571213,22.72,37.84,18,27,0,11,0,0,11,0,39,6,0,13,14,46
143,50,0,50,0.0,19,20,931986.966634957,22.72,37.84,18,27,0,15,0,0,15,0,35,6,0,13,14,46
144,50,1,49,0.02,19,20,931362.3556102117,22.64,37.56,18,27,1,17,0,0,17,0,32,6,0,13,14,46
145,50,0,50,0.0,19,20,930720.151199285,22.64,37.56,18,27,0,14,0,0,14,0,36,6,0,13,14,46
146,50,1,49,0.02,19,20,930059.98432802,22.62,37.4,18,27,1,12,0,0,12,0,37,6,0,13,14,46
147,50,3,47,0.06,16,17,792052.0631958119,22.46,36.7,16,17,3,10,0,0,10,0,37,4,0,12,13,48
148,50,0,50,0.0,16,17,791458.6163968658,22.46,36.7,16,17,0,22,1,0,23,0,27,4,0,12,13,48
149,50,3,47,0.06,16,17,790848.9119100793,22.32,36.68,16,17,3,20,0,0,20,0,27,4,0,12,13,48
150,50,2,48,0.04,16,17,790222.6179611032,22.24,36.96,16,17,2,17,0,0,17,0,31,4,0,12,13,48
151,50,2,48,0.04,16,17,789579.3982922522,22.18,36.74,16,17,2,20,0,0,20,0,28,4,0,12,13,48
152,50,3,47,0.06,16,17,788918.9121324165,22.02,36.9,16,17,3,13,0,0,13,0,34,4,0,12,13,48
153,50,0,50,0.0,16,17,788240.8141669716,22.02,36.9,16,17,0,11,0,0,11,0,39,4,0,12,13,48
154,50,2,48,0.04,16,17,787544.7545076889,21.98,36.88,16,17,2,11,1,0,12,0,36,4,0,12,13,48
155,50,1,49,0.02,16,17,786830.3786626465,21.96,36.72,16,17,1,16,1,0,17,0,32,4,0,12,13,48
156,50,3,47,0.06,15,17,784901.0972926406,21.72,36.52,15,17,3,14,0,0,14,0,33,5,0,10,12,47
157,50,2,48,0.04,15,17,784150.1268773329,21.66,36.34,15,17,2,15,0,0,15,0,33,5,0,10,12,47
158,50,0,50,0.0,15,17,783379.7777748171,21.66,36.34,15,17,0,21,0,0,21,0,29,5,0,10,12,47
159,50,3,47,0.06,13,15,691109.1197219858,21.42,36.66,13,15,3,17,0,0,17,0,30,6,0,7,9,46
160,50,3,47,0.06,13,15,690394.2193262329,21.4,36.0,13,15,3,18,0,0,18,0,29,6,0,7,9,46
161,50,0,50,0.0,13,15,689661.2212601019,21.4,36.0,13,15,0,17,0,0,17,0,33,6,0,7,9,46
162,50,0,50,0.0,13,15,688909.7840714932,21.4,36.0,13,15,0,13,0,0,13,0,37,6,0,7,9,46
163,50,2,48,0.04,13,15,688139.5620402403,21.34,36.2,13,15,2,17,0,0,17,0,31,6,0,7,9,46
