run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,19,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,20,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,21,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,22,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,23,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,24,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,24,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,25,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,25,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,26,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,26,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,27,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,28,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,31,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,35,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,37,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,38,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,39,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,40,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,43,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,44,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,47,0,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,48,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,49,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,51,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,54,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,55,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,56,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,4,57,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,1,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,3,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,4,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,5,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,6,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,7,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,9,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,10,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,10,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,12,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,13,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,14,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,19,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,20,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,21,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,24,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,27,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,27,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,28,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,31,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,35,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,36,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,39,1,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,41,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,42,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,43,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,43,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,44,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,5,45,0,1
