global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
45,stage1,45,4650327.400169036,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999423349609375
46,stage1,46,4650296.276293527,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99993563657
47,stage1,47,4650262.325069795,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999283296853125
48,stage1,48,4650225.358097982,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99992037376
49,stage1,49,4650185.178788828,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999117264846875
50,stage1,50,4650141.582189426,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99990234375
51,stage1,51,4650094.354808981,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9998921796090625
52,stage1,52,4650043.27444456,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99988118624
53,stage1,53,4649988.110006863,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9998693139084375
54,stage1,54,4649928.621345969,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99985651093
55,stage1,55,4649864.559077094,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9998427236328125
56,stage1,56,4649795.66440636,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99982789632
57,stage1,57,4649721.668956534,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9998119712321875
58,stage1,58,4649642.2945928,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99979488851
59,stage1,59,4649557.253248512,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9997765861565625
60,stage1,60,4649466.246750948,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.999757
61,stage1,61,4649368.966647074,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9997360636559375
62,stage1,62,4649265.0940292915,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99971370849
63,stage1,63,4649154.299361208,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9996898635803125
64,stage1,64,4649036.242303382,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99966445568
65,stage1,65,4648910.571539089,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9996374091796875
66,stage1,66,4648776.924600071,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99960864607
67,stage1,67,4648634.927692304,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9995780859040625
68,stage1,68,4648484.195521744,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99954564576
69,stage1,69,4648324.331120095,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9995112402034375
70,stage1,70,4648154.925670558,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99947478125
71,stage1,71,4647975.5583335925,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9994361783278125
72,stage1,72,4647785.796072675,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99939533824
73,stage1,73,4647585.19348005,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9993521651271875
74,stage1,74,4647373.292602497,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99930656043
75,stage1,75,4647149.622767081,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9992584228515625
76,stage1,76,4613705.99238394,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99920764832
77,stage1,77,4613459.094747357,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9991541299509376
78,stage1,78,4613199.032655951,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99909775801
79,stage1,79,4612925.286548394,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9990384198753125
