flight_id,unique_conflict_partners,conflict_point_involvement,binary_degree,multi_degree,weighted_strength,pagerank_binary,betweenness_binary,CI_binary_l1,CI_binary_l2,CI_binary_l3,CI_binary_l4,CI_multi_l1,CI_multi_l2,CI_multi_l3,CI_multi_l4,CI_weighted_l1,CI_weighted_l2,CI_weighted_l3,CI_weighted_l4
81,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4,4,4,4,4,0.020118085683083688,0.05318491032776747,18.0,6.0,12.0,6.0,21.0,9.0,15.0,9.0,21.0,9.0,15.0,9.0
84,1,1,1,1,1,0.00753477258066879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1,1,1,1,1,0.005465024772876285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1,1,1,1,1,0.008188277873353071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1,1,1,1,1,0.008188277873353071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,1,1,1,1,0.0059921358605614945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2,2,2,2,2,0.01086202974343899,0.00515357658214801,3.0,4.0,4.0,1.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0
94,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,3,3,3,3,3,0.018139000457469433,0.006390434961863533,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0
96,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4,4,4,4,4,0.019633001123239808,0.09461966604823747,15.0,21.0,6.0,12.0,15.0,27.0,12.0,81.0,15.0,27.0,12.0,81.0
99,1,2,1,2,2,0.004168350798944126,0.0,0.0,0.0,0.0,0.0,27.0,27.0,5.0,6.0,27.0,27.0,5.0,6.0
