run_id,plan_a,plan_b,conflict_points
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,47,83,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,48,75,2
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,49,53,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,54,55,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,54,91,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,55,68,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,56,60,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,56,77,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,61,67,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,63,94,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,68,79,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,70,94,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,71,72,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,72,93,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,83,99,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,86,87,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,91,96,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,91,98,1
