global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
79,stage1,79,2591046.6357692,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9990384198753125
80,stage1,80,2590884.998821509,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.998976
81,stage1,81,2590715.0747915497,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9989103798746874
82,stage1,82,2590536.5490294727,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99884143799
83,stage1,83,2590349.0990197845,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9987690497990624
84,stage1,84,2590152.3942842507,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99869308768
85,stage1,85,2589946.096284781,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9986134208984375
86,stage1,86,2589729.858326325,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.99852991557
87,stage1,87,2589503.325459771,8147.337046511728,58852.520524745625,757.6201890126889,55,6,0,0.9984424346228125
88,stage1,88,2586799.1068183505,9487.489796799775,58794.89926746369,757.6201890126889,55,6,0,0.99835083776
89,stage1,89,2495969.2962239035,8376.146518638998,58877.05462365081,757.6201890126889,53,5,0,0.9982549814221875
90,stage1,90,2495719.0017808345,8376.146518638998,58877.05462365081,757.6201890126889,53,5,0,0.99815471875
91,stage1,91,2495457.332471859,8376.146518638998,58877.05462365081,757.6201890126889,53,5,0,0.9980498995465625
92,stage1,92,2495183.904922128,8376.146518638998,58877.05462365081,757.6201890126889,53,5,0,0.99794037024
93,stage1,93,2494898.3272378687,8376.146518638998,58877.05462365081,757.6201890126889,53,5,0,0.9978259738459375
94,stage1,94,2494600.1989127747,8376.146518638998,58877.05462365081,757.6201890126889,53,5,0,0.99770654993
95,stage1,95,2494289.11073439,8376.146518638998,58877.05462365081,757.6201890126889,53,5,0,0.9975819345703125
96,stage1,96,2490274.64368297,8266.42787998091,58790.036573369136,757.6201890126889,53,5,0,0.99745196032
97,stage1,97,2489936.872819375,8266.42787998091,58790.036573369136,757.6201890126889,53,5,0,0.9973164561696874
98,stage1,98,2489584.882339233,8266.42787998091,58790.036573369136,757.6201890126889,53,5,0,0.99717524751
99,stage1,99,2489218.2279269947,8266.42787998091,58790.036573369136,757.6201890126889,53,5,0,0.9970281560940625
100,stage1,100,2488836.4561064485,8266.42787998091,58790.036573369136,757.6201890126889,53,5,0,0.996875
101,stage1,101,2488439.104147243,8266.42787998091,58790.036573369136,757.6201890126889,53,5,0,0.9967155935934375
102,stage1,102,2487276.5786504163,6519.138645143029,58776.757433817744,757.6201890126889,53,4,0,0.99654974749
103,stage1,103,2486846.737850683,6519.138645143029,58776.757433817744,757.6201890126889,53,4,0,0.9963772685178125
104,stage1,104,2486399.876107091,6519.138645143029,58776.757433817744,757.6201890126889,53,4,0,0.99619795968
105,stage1,105,2484112.2025849717,6679.2719041522,58733.444797484895,757.6201890126889,53,4,0,0.9960116201171875
106,stage1,106,2483630.1430206094,6679.2719041522,58733.444797484895,757.6201890126889,53,4,0,0.99581804507
107,stage1,107,2483129.545226127,6679.2719041522,58733.444797484895,757.6201890126889,53,4,0,0.9956170258415625
108,stage1,108,2482609.879585166,6679.2719041522,58733.444797484895,757.6201890126889,53,4,0,0.99540834976
109,stage1,109,2482070.606489048,6679.2719041522,58733.444797484895,757.6201890126889,53,4,0,0.9951918001409374
110,stage1,110,2477839.3138323063,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99496715625
111,stage1,111,2477260.099452716,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9947341932653125
112,stage1,112,2476659.6321343635,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99449268224
113,stage1,113,2476037.332298901,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9942423900646875
114,stage1,114,2475392.609925545,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99398307943
115,stage1,115,2474724.8644578457,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9937145087890625
116,stage1,116,2474033.4847104456,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99343643232
117,stage1,117,2473317.8487758483,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9931485998884375
118,stage1,118,2472577.323931178,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99285075701
