run_id,conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,sampled_strategy,actor_gene,selected_actor,stage2_generation,record_type
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,22,9,63,29,4,0,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,63,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,23,52,77,14,21,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,77,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,24,10,57,37,4,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,57,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,25,11,82,35,45,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,speed,1.8292249014868085,82,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,26,13,23,37,36,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,speed,1.8292249014868085,23,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,27,34,86,13,48,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,reroute,1.8292249014868085,86,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,28,13,75,3,49,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,75,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,29,14,29,43,25,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,speed,1.8292249014868085,29,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,30,14,81,38,25,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,reroute,1.8292249014868085,81,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,31,14,73,36,25,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,speed,1.8292249014868085,73,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,32,70,87,18,26,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,reroute,1.8292249014868085,87,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,33,70,87,14,26,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,schedule,1.8292249014868085,87,2,generation_best
