run_id,global_generation,stage,stage_generation,fitness,Nc,Tdelay,Tair,ORISK,delta,n_delay,n_battery
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,25,stage1,25,4861793.075918763,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.996875,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,26,stage1,26,4858493.552655312,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.99619795968,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,27,stage1,27,4854645.426889195,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.99540834976,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,28,stage1,28,4850182.965504581,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.99449268224,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,29,stage1,29,4845035.382590968,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.99343643232,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,30,stage1,30,4839126.652302644,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.992224,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,31,stage1,31,4832375.32171814,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.99083867168,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,32,stage1,32,4824694.32369969,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.98926258176,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,33,stage1,33,4815990.789752682,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.98747667424,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,34,stage1,34,4806165.862885123,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.98546066432,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,35,stage1,35,4795114.510467088,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.983193,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,36,stage1,36,4782725.337090183,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.98065082368,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,37,stage1,37,4768880.397426996,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.97780993376,4,0
