run_id,grid_x,grid_y,grid_z,distinct_flight_count
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,44,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,45,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,46,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,47,0,4
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,48,0,5
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,49,0,5
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,50,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,51,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,52,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,53,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,54,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,7,55,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,3,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,5,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,8,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,9,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,12,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,15,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,16,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,18,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,19,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,21,2,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,24,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,24,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,25,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,26,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,27,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,27,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,28,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,28,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,29,2,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,30,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,30,1,3
