global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
130,stage1,130,3273378.477637045,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98839709375
131,stage1,131,3271879.3529582378,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9879439094840625
132,stage1,132,3270333.7479188982,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98747667424
133,stage1,133,3268740.589958061,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9869950637834375
134,stage1,134,3267098.7901402595,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98649874893
135,stage1,135,3265407.2430314734,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9859873955078124
136,stage1,136,3263664.8265750827,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98546066432
137,stage1,137,3261870.4019678137,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9849182111071875
138,stage1,138,3260022.813535695,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98435968651
139,stage1,139,3258120.8886100035,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9837847360315625
140,stage1,140,3256163.4374032198,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.983193
141,stage1,141,3254149.2528849756,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9825841135309376
142,stage1,142,3252077.1106580044,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98195770649
143,stage1,143,3249945.768834095,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9813134034553125
144,stage1,144,3247753.967910039,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.98065082368
145,stage1,145,3245500.4306435836,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9799695810546875
146,stage1,146,3243183.8619293827,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.97926928407
147,stage1,147,3240802.9486749433,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9785495357790625
148,stage1,148,3238356.3596765846,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.97780993376
149,stage1,149,3235842.745495379,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9770500700784375
150,stage1,150,3233260.738333111,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.97626953125
151,stage1,151,3230608.9519082224,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9754678982028125
152,stage1,152,3227885.981331766,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.97464474624
153,stage1,153,3225090.4029833563,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9737996450021875
154,stage1,154,3222220.7743871165,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.97293215843
155,stage1,155,3219275.6340876357,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9720418447265625
156,stage1,156,3216253.5015259134,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.97112825632
157,stage1,157,3213152.8769153147,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9701909398259375
158,stage1,158,3209972.241117518,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.96922943601
159,stage1,159,3206710.055518467,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9682432797503124
160,stage1,160,3203364.761904323,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.967232
161,stage1,161,3199934.7823374122,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9661951197496875
162,stage1,162,3196418.5190321784,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.96513215599
163,stage1,163,3192814.354231136,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9640426196740625
164,stage1,164,3189120.6500808145,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.96292601568
165,stage1,165,3185335.7485077158,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9617818427734375
166,stage1,166,3181457.971094262,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.96060959357
167,stage1,167,3177485.618954745,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9594087544978125
168,stage1,168,3173416.9726112806,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.95817880576
169,stage1,169,3169250.2918697554,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9569192212971875
170,stage1,170,3164983.8156957794,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.95562946875
171,stage1,171,3160615.762090638,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9543090094215625
