action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,42,42,42,44,44,False,True,7.334500000069966,rollback,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,44,44,42,42,,,
delay,42,42,41,44,42,True,False,7.330800000090676,pairs_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,2,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,44,42,42,41,0.875,0.075,0.05
cruise_level,55,41,40,42,40,True,False,7.389400000192836,pairs_decreased,2,0,0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,4,0,55,77,reroute,55,42,40,41,40,0.075,0.075,0.85
cruise_level,3,40,40,40,40,False,True,7.838600000013685,rollback,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,5,0,3,65,reroute,3,40,40,40,40,,,
cruise_level,3,40,39,40,39,True,False,7.36670000014783,pairs_decreased,1,0,0,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,1,0.075,0.075,0.85,ADM_ref6_independent_matching,5,0,3,65,reroute,3,40,39,40,39,0.0375,0.0375,0.925
speed,6,39,38,39,38,True,False,8.112900000014633,pairs_decreased,1,0,0,stage2_independent_matching,6,0,6-11,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,6,0,6,11,speed,6,39,38,39,38,0.03125,0.95,0.01875
speed,8,38,38,38,38,False,True,7.674799999676907,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,8,38,38,38,38,,,
speed,8,38,38,38,38,False,True,7.582499999898573,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,1,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,8,38,38,38,38,,,
speed,8,38,38,38,38,False,True,7.480700000087381,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,2,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,8,38,38,38,38,,,
speed,37,38,39,38,40,False,True,7.531100000051083,rollback,1,0,2,stage2_independent_matching,7,0,8-37,1,crossing,speed,3,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,37,38,40,38,39,,,
speed,37,38,38,38,38,False,True,7.672700000057375,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,4,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,37,38,38,38,38,,,
speed,8,38,38,38,38,False,True,7.688700000016979,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,5,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,8,38,38,38,38,,,
speed,8,38,38,38,38,False,True,9.153799999694456,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,6,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,8,38,38,38,38,,,
speed,37,38,38,38,38,True,False,20.53680000017266,soft_decreased,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,7,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,8,37,speed,37,38,38,38,38,0.015625,0.975,0.009375
speed,37,38,37,38,38,True,False,7.712699999956385,pairs_decreased,1,0,1,stage2_independent_matching,8,0,8-37,1,crossing,speed,0,0.015625,0.975,0.009375,ADM_ref6_independent_matching,8,0,8,37,speed,37,38,38,38,37,0.0078125,0.9875,0.0046875
speed,78,37,36,38,36,True,False,7.6627000003099965,pairs_decreased,2,0,0,stage2_independent_matching,9,0,37-78,2,crossing,speed,0,0.0078125,0.9875,0.0046875,ADM_ref6_independent_matching,9,0,37,78,speed,78,38,36,37,36,0.00390625,0.99375,0.00234375
speed,9,36,37,36,37,False,True,7.627800000136631,rollback,1,1,1,stage2_independent_matching,10,0,9-12,1,crossing,speed,0,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,9,36,37,36,37,,,
speed,9,36,36,36,36,False,True,8.604000000104861,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,1,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,9,36,36,36,36,,,
speed,9,36,36,36,36,False,True,7.761999999729596,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,2,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,9,36,36,36,36,,,
speed,12,36,36,36,36,False,True,8.055699999658827,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,3,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,12,36,36,36,36,,,
speed,12,36,36,36,36,False,True,8.172100000138016,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,4,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,12,36,36,36,36,,,
speed,9,36,36,36,36,False,True,7.903799999894545,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,5,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,9,36,36,36,36,,,
speed,9,36,36,36,36,False,True,7.8285999998115585,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,6,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,9,36,36,36,36,,,
speed,12,36,38,36,38,False,True,8.065999999871565,rollback,1,1,2,stage2_independent_matching,10,0,9-12,1,crossing,speed,7,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,12,36,38,36,38,,,
speed,12,36,38,36,38,False,True,7.771799999773066,rollback,1,1,2,stage2_independent_matching,10,0,9-12,1,crossing,speed,8,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,12,36,38,36,38,,,
speed,12,36,37,36,37,False,True,7.745400000203517,rollback,1,1,1,stage2_independent_matching,10,0,9-12,1,crossing,speed,9,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,speed,12,36,37,36,37,,,
cruise_level,9,36,35,36,35,True,False,7.521800000176881,pairs_decreased,1,0,0,stage2_independent_matching,10,0,9-12,1,crossing,reroute,0,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,10,0,9,12,reroute,9,36,35,36,35,0.001953125,0.496875,0.501171875
cruise_level,13,35,36,35,39,False,True,7.7662999997301085,rollback,1,1,1,stage2_independent_matching,11,0,13-45,1,cluster,reroute,0,0.875,0.075,0.05,ADM_ref6_independent_matching,11,0,13,45,reroute,13,35,39,35,36,,,
cruise_level,13,35,33,35,33,True,False,7.814699999926233,pairs_decreased,1,0,0,stage2_independent_matching,11,0,13-45,1,cluster,reroute,1,0.875,0.075,0.05,ADM_ref6_independent_matching,11,0,13,45,reroute,13,35,33,35,33,0.4375,0.0375,0.525
speed,40,33,32,33,32,True,False,9.421700000075361,pairs_decreased,1,0,1,stage2_independent_matching,12,0,14-40,1,crossing,speed,0,0.001953125,0.496875,0.501171875,ADM_ref6_independent_matching,12,0,14,40,speed,40,33,32,33,32,0.0009765625,0.7484375,0.2505859375
