action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
delay,28,20,20,20,20,False,True,7.751199999802338,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,53,0,28-34,1,crossing,delay,0,0.984359483467415,0.01564051639288664,1.3969838619232177e-10,ADM_ref6_independent_matching,,,,53,0,28,34,delay,28,20,20,20,20
speed,34,20,19,20,19,True,False,8.035199999994802,local_pair_points_decreased,1.0,0.0,0.0,stage2_independent_matching,53,0,28-34,1,crossing,speed,0,0.984359483467415,0.01564051639288664,1.3969838619232177e-10,ADM_ref6_independent_matching,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,53,0,28,34,speed,34,20,19,20,19
speed,34,19,19,19,19,False,True,8.065699999860954,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,0,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,34,19,19,19,19
speed,34,19,19,19,19,False,True,7.92249999994965,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,1,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,34,19,19,19,19
speed,34,19,19,19,19,False,True,9.382400000049529,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,2,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,34,19,19,19,19
speed,64,19,20,19,23,False,True,21.541399999932764,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,3,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,64,19,23,19,20
speed,64,19,19,19,19,False,True,8.25829999985217,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,4,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,64,19,19,19,19
speed,34,19,20,19,20,False,True,8.09869999966395,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,5,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,34,19,20,19,20
speed,34,19,20,19,20,False,True,7.9026000003068475,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,6,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,34,19,20,19,20
speed,64,19,18,19,18,False,True,7.866100000228471,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,7,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,64,19,18,19,18
speed,64,19,19,19,19,False,True,7.91899999967427,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,8,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,64,19,19,19,19
speed,64,19,19,19,19,False,True,7.913299999927403,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,54,0,34-64,1,crossing,speed,9,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,speed,64,19,19,19,19
delay,,,,,,False,True,0.0,no_candidate,,,,stage2_independent_matching,54,0,34-64,1,crossing,delay,-1,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,,,,54,0,34,64,delay,,,,,
