global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
82,stage1,82,2669525.1687541185,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99884143799
83,stage1,83,2669331.990024306,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9987690497990624
84,stage1,84,2669129.273731989,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99869308768
85,stage1,85,2668916.670992907,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9986134208984375
86,stage1,86,2668693.824516552,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99852991557
87,stage1,87,2668460.368506095,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9984424346228125
88,stage1,88,2668215.9285583105,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99835083776
89,stage1,89,2667960.1215635054,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9982549814221875
90,stage1,90,2667692.5556054404,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99815471875
91,stage1,91,2667412.8298612577,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9980498995465625
92,stage1,92,2667120.5345014073,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99794037024
93,stage1,93,2666815.2505895714,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9978259738459375
94,stage1,94,2666496.54998259,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99770654993
95,stage1,95,2666163.995230388,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9975819345703125
96,stage1,96,2665817.139475899,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99745196032
97,stage1,97,2665455.526354992,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9973164561696874
98,stage1,98,2665078.6898963973,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99717524751
99,stage1,99,2664686.154421631,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9970281560940625
100,stage1,100,2664277.4344449206,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.996875
101,stage1,101,2663852.0345731336,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9967155935934375
102,stage1,102,2663409.449405698,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99654974749
103,stage1,103,2662949.163434533,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9963772685178125
104,stage1,104,2662470.650943971,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99619795968
105,stage1,105,2661973.3759106845,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9960116201171875
106,stage1,106,2661456.791903614,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99581804507
107,stage1,107,2660920.3419838888,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9956170258415625
108,stage1,108,2660363.458604757,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99540834976
109,stage1,109,2659785.563511509,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9951918001409374
110,stage1,110,2659186.067641403,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99496715625
111,stage1,111,2658564.371023592,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9947341932653125
112,stage1,112,2657919.862679049,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99449268224
113,stage1,113,2657251.9205204905,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9942423900646875
114,stage1,114,2656559.911252307,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99398307943
115,stage1,115,2655843.190270481,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9937145087890625
116,stage1,116,2655101.1015625233,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99343643232
