conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,selected_strategy,target_flight
56,36,94,37,19,2,0.9999999999958326,4.1671851154963714e-12,2.9605947323337516e-16,scheduling,36
57,36,95,28,19,2,0.999999999999999,7.401486830834377e-16,2.960594732333751e-16,scheduling,95
58,52,77,25,20,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
59,52,77,24,20,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
60,52,77,23,20,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
61,52,77,22,20,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
62,52,77,21,21,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
63,52,77,20,21,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
64,52,77,18,21,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
65,52,77,17,21,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
66,52,77,16,21,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
67,52,77,13,21,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
68,52,77,12,21,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
69,37,44,27,47,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,44
70,78,97,49,15,1,1.9679665304768907e-11,0.9999999999803201,2.9605947323337516e-16,speed,78
71,40,65,32,32,2,0.999999999999999,7.401486830834377e-16,2.960594732333751e-16,scheduling,65
72,70,87,29,28,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
73,43,44,27,30,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,44
74,70,87,27,28,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
75,52,77,7,23,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
76,52,77,8,22,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
77,52,77,10,22,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
78,52,77,9,22,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
79,52,77,4,22,2,2.960594732333751e-16,0.9999999999999994,2.960594732333751e-16,speed,77
80,52,77,3,22,2,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,52
81,55,65,46,9,0,0.999999999999999,7.401486830834377e-16,2.960594732333751e-16,scheduling,65
82,57,82,9,29,1,0.999999999999999,2.960594732333751e-16,7.401486830834377e-16,scheduling,57
83,57,69,11,27,2,0.9999999999999892,1.0510111299784816e-14,2.960594732333751e-16,scheduling,69
84,61,88,45,54,2,0.9999999997713193,1.1842378929335004e-15,2.2867959377966449e-10,scheduling,61
85,68,99,47,33,2,5.71590004957064e-09,0.999999993918628,3.6547194900056935e-10,speed,99
86,70,87,23,27,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
